SampleID	SampleID_2	Crust_type	Layer	Locus	Site	Near_plant	Seq_technology	Climate	KHK_or_NP	Flowcell	Site_layer	Soil_type	Soil_type_layer	Sampling_month	Sampling_Date
BetaC2.TR.2	BetaC2.TR.2	SMC	Surface	ITS	ODLO	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
GammaA5.TR.2	GammaA5.TR.2	SMC.sub	Subsurface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Granite	Granite_Sub	TBD	TBD
GammaB1.TR.1	GammaB1.TR.1	SMC	Surface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Volcanic	Volcanic_SF	TBD	TBD
GammaB4.TR.2	GammaB4.TR.2	SMC	Surface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Volcanic	Volcanic_SF	TBD	TBD
GammaB5.TR.2	GammaB5.TR.2	SMC	Surface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Volcanic	Volcanic_SF	TBD	TBD
GammaC2.TR.2.1	GammaC2.TR.2.1	SMC.ster	Surface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Volcanic	Volcanic_SF	TBD	TBD
GammaC2.TR.2.2	GammaC2.TR.2.2	SMC.ster	Surface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Volcanic	Volcanic_SF	TBD	TBD
GammaC3.TR.1	GammaC3.TR.1	SMC.ster	Surface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Volcanic	Volcanic_SF	TBD	TBD
GammaD4.TR.2	GammaD4.TR.2	Dirt	Subsurface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Volcanic	Volcanic_SF	TBD	TBD
GammaD5.TR.2	GammaD5.TR.2	Dirt	Subsurface	ITS	CIMA	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	TBD	Volcanic	Volcanic_SF	TBD	TBD
AlphaD2	AlphaD2	Dirt	Subsurface	ITS	AB	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
AlphaD1	AlphaD1	Dirt	Subsurface	ITS	AB	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaB3	deltaB3	SMC	Surface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
BetaD3	BetaD3	Dirt	Subsurface	ITS	ODLO	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
BetaD1	BetaD1	Dirt	Subsurface	ITS	ODLO	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaC2	deltaC2	SMC.ster	Surface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaD1	deltaD1	Dirt	Subsurface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
AlphaA3	AlphaA3	SMC.sub	Subsurface	ITS	AB	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaA3	OmegaA3	SMC.sub	Subsurface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaC1	deltaC1	SMC.ster	Surface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaD3	OmegaD3	Dirt	Subsurface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
BetaA2	BetaA2	SMC.sub	Subsurface	ITS	ODLO	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaB1	OmegaB1	SMC	Surface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
GammaA2	GammaA2	SMC.sub	Subsurface	ITS	CIMA	Near_Plant	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaC1	OmegaC1	SMC.ster	Surface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaB2	deltaB2	SMC	Surface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaB3	OmegaB3	SMC	Surface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaC3	deltaC3	SMC.ster	Surface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaA2	OmegaA2	SMC.sub	Subsurface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaB2	OmegaB2	SMC	Surface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
BetaD2	BetaD2	Dirt	Subsurface	ITS	ODLO	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaB1	deltaB1	SMC	Surface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaA1	deltaA1	SMC.sub	Subsurface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaC3	OmegaC3	SMC.ster	Surface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
AlphaC3	AlphaC3	SMC.ster	Surface	ITS	AB	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaD1	OmegaD1	Dirt	Subsurface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
GammaD1	GammaD1	Dirt	Subsurface	ITS	CIMA	Near_Plant	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaD2	OmegaD2	Dirt	Subsurface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
AlphaD3	AlphaD3	Dirt	Subsurface	ITS	AB	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaA2	deltaA2	SMC.sub	Subsurface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaD2	deltaD2	Dirt	Subsurface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaC2	OmegaC2	SMC.ster	Surface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
BetaC3	BetaC3	SMC.ster	Surface	ITS	ODLO	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaA3	deltaA3	SMC.sub	Subsurface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
OmegaA1	OmegaA1	SMC.sub	Subsurface	ITS	TP	Not_Near	Nextseq	Coastal	KHK	TBD	TBD	TBD	TBD	TBD	TBD
AlphaA2	AlphaA2	SMC.sub	Subsurface	ITS	AB	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
GammaA3	GammaA3	SMC.sub	Subsurface	ITS	CIMA	Near_Plant	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
deltaD3	deltaD3	Dirt	Subsurface	ITS	GMT	Not_Near	Nextseq	Mojave_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
BetaB3	BetaB3	SMC	Surface	ITS	ODLO	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
BetaA3	BetaA3	SMC.sub	Subsurface	ITS	ODLO	Near_Plant	Nextseq	Colorado_Desert	KHK	TBD	TBD	TBD	TBD	TBD	TBD
