SampleID	SampleID_2	Crust_type	Layer	Locus	Site	Near_plant	Seq_technology	Climate	KHK_or_NP	Flowcell	Site_layer	Soil_type	Soil_type_layer	Sampling_month	Sampling_Date
AlphaA1.TR.1	AlphaA1.TR.1	SMC.sub	Subsurface	ITS	AB	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	AB_Sub	Granite	Granite_Sub	TBD	TBD
AlphaB1.TR.2	AlphaB1.TR.2	SMC	Surface	ITS	AB	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
AlphaB3.TR.2	AlphaB3.TR.2	SMC	Surface	ITS	AB	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
AlphaB4.TR.1	AlphaB4.TR.1	SMC	Surface	ITS	AB	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
AlphaB5.TR.2.1	AlphaB5.TR.2.1	SMC	Surface	ITS	AB	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
AlphaB5.TR.2.2	AlphaB5.TR.2.2	SMC	Surface	ITS	AB	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
AlphaC2.TR.2	AlphaC2.TR.2	SMC.ster	Surface	ITS	AB	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
AlphaC4.TR.2	AlphaC4.TR.2	SMC.ster	Surface	ITS	AB	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
BetaA3.TR.2	BetaA3.TR.2	SMC.sub	Subsurface	ITS	ODLO	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_Sub	TBD	TBD
BetaB1.TR.1	BetaB1.TR.1	SMC	Surface	ITS	ODLO	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
BetaB2.TR.2	BetaB2.TR.2	SMC.ster	Surface	ITS	ODLO	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
BetaC1.TR.2	BetaC1.TR.2	SMC.ster	Surface	ITS	ODLO	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	TBD	Granite	Granite_SF	TBD	TBD
