SampleID	SampleID_2	Layer	Locus	Site	Substrate	Site_substrate	Near_plant	Seq_technology	Climate	KHK_or_NP	Flowcell	Soil_type	Soil_type_layer	TBD	Sampling_Date
AlphaA1.TR.1	AlphaA1.TR.1	Subsurface	ITS	AB	Subsurface	AB_Subsurface	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_Sub		TBD
AlphaB1.TR.2	AlphaB1.TR.2	Surface	ITS	AB	Moss Crust	AB_Moss_Crust	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaB3.TR.2	AlphaB3.TR.2	Surface	ITS	AB	Moss Crust	AB_Moss_Crust	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaB4.TR.1	AlphaB4.TR.1	Surface	ITS	AB	Moss Crust	AB_Moss_Crust	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaB5.TR.2.1	AlphaB5.TR.2.1	Surface	ITS	AB	Moss Crust	AB_Moss_Crust	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaB5.TR.2.2	AlphaB5.TR.2.2	Surface	ITS	AB	Moss Crust	AB_Moss_Crust	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaC2.TR.2	AlphaC2.TR.2	Surface	ITS	AB	Surface Sterile	AB_Sterile	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaC4.TR.2	AlphaC4.TR.2	Surface	ITS	AB	Surface Sterile	AB_Moss_Crust	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
BetaA3.TR.2	BetaA3.TR.2	Subsurface	ITS	ODLO	Subsurface	ODLO_Subsurface	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_Sub	TBD	TBD
BetaB1.TR.1	BetaB1.TR.1	Surface	ITS	ODLO	Moss Crust	ODLO_Moss_Crust	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
BetaB2.TR.2	BetaB2.TR.2	Surface	ITS	ODLO	Surface Sterile	ODLO_Sterile	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
BetaC1.TR.2	BetaC1.TR.2	Surface	ITS	ODLO	Surface Sterile	ODLO_Sterile	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
BetaC2.TR.2	BetaC2.TR.2	Surface	ITS	ODLO	Moss Crust	ODLO_Moss_Crust	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
GammaA5.TR.2	GammaA5.TR.2	Subsurface	ITS	CIMA	Subsurface	CIMA_Subsurface	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	Granite	Granite_Sub	TBD	TBD
