"Phylum"	"meanRA"	"sdRA"	"minRA"	"maxRA"
"1"	"Ascomycota"	0.334888301801412	0.0168833926103914	0.00012643823492224	0.437729169300797
"2"	NA	0.449168502239288	0.0134944147395102	0.00012643823492224	0.783158427108358
"3"	"Glomeromycota"	0.00921890007608476	0.00314851304457694	0.00012643823492224	0.0269313440384372
"4"	"Basidiomycota"	0.177439426103506	0.0297306356778079	0.00012643823492224	0.693513718548489
"5"	"Chytridiomycota"	0.0188991887989033	0.012274470682727	0.00012643823492224	0.125932481982552
"6"	"Rozellomycota"	0.00292360690574584	0.00871933991609108	0.00012643823492224	0.0455177645720066
"7"	"Blastocladiomycota"	0.00122667270021051	0.000784294951688482	0.00012643823492224	0.00670122645087875
"8"	"Anthophyta"	0.00181228136721878	0.00473241508419104	0.00012643823492224	0.0241497028701479
"9"	"Mucoromycota"	5.54553661939651e-05	0.000205001102285235	0.00012643823492224	0.000758629409533443
"10"	"Mortierellomycota"	0.00279051402688033	0.00672752963740648	0.00012643823492224	0.0441269439878619
"11"	"Cercozoa"	5.54553661939651e-05	0.000247552158394882	0.00012643823492224	0.000885067644455683
"12"	"Zoopagomycota"	1.55275025343102e-05	7.29991489682167e-05	0.000252876469844481	0.000379314704766721
"13"	"Arthropoda"	3.10550050686205e-05	0.000235415181755282	0.00012643823492224	0.000758629409533443
"14"	"Chordata"	0.000235130752662412	0.0057110346624726	0.00012643823492224	0.0128966999620685
"15"	"Streptophycophyta"	2.2182146477586e-06	NA	0.00012643823492224	0.00012643823492224
"16"	"Basidiobolomycota"	0.000718701545873788	0.0050013837744712	0.00012643823492224	0.016310532304969
"17"	"Kickxellomycota"	2.44003611253447e-05	0.000138506146796097	0.00012643823492224	0.000505752939688962
"18"	"Ciliophora"	0.000494661866450169	NA	0.0281957263876596	0.0281957263876596
