	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	NA	NA	NA	NA	NA	NA	NA
ASV2	NA	NA	NA	NA	NA	NA	NA
ASV3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV4	NA	NA	NA	NA	NA	NA	NA
ASV5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia membranifaciens
ASV6	NA	NA	NA	NA	NA	NA	NA
ASV7	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	NA
ASV10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	Neocosmospora falciformis
ASV11	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa
ASV12	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus tubingensis
ASV13	NA	NA	NA	NA	NA	NA	NA
ASV15	NA	NA	NA	NA	NA	NA	NA
ASV16	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	NA
ASV17	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
ASV18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV19	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	NA
ASV20	NA	NA	NA	NA	NA	NA	NA
ASV21	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV22	NA	NA	NA	NA	NA	NA	NA
ASV23	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia membranifaciens
ASV24	NA	NA	NA	NA	NA	NA	NA
ASV25	NA	NA	NA	NA	NA	NA	NA
ASV26	NA	NA	NA	NA	NA	NA	NA
ASV27	NA	NA	NA	NA	NA	NA	NA
ASV28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV29	NA	NA	NA	NA	NA	NA	NA
ASV30	NA	NA	NA	NA	NA	NA	NA
ASV31	NA	NA	NA	NA	NA	NA	NA
ASV32	NA	NA	NA	NA	NA	NA	NA
ASV33	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia exosporioides
ASV34	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV35	NA	NA	NA	NA	NA	NA	NA
ASV36	Fungi	NA	NA	NA	NA	NA	NA
ASV37	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV38	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV39	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	NA	NA
ASV40	NA	NA	NA	NA	NA	NA	NA
ASV41	NA	NA	NA	NA	NA	NA	NA
ASV42	NA	NA	NA	NA	NA	NA	NA
ASV43	NA	NA	NA	NA	NA	NA	NA
ASV44	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Tylosporaceae	Amphinema	NA
ASV45	NA	NA	NA	NA	NA	NA	NA
ASV46	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	NA
ASV47	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
ASV48	NA	NA	NA	NA	NA	NA	NA
ASV49	NA	NA	NA	NA	NA	NA	NA
ASV50	NA	NA	NA	NA	NA	NA	NA
ASV51	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV52	NA	NA	NA	NA	NA	NA	NA
ASV54	NA	NA	NA	NA	NA	NA	NA
ASV55	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	NA
ASV56	Fungi	NA	NA	NA	NA	NA	NA
ASV57	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV58	NA	NA	NA	NA	NA	NA	NA
ASV59	NA	NA	NA	NA	NA	NA	NA
ASV60	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV61	NA	NA	NA	NA	NA	NA	NA
ASV62	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tenuissima
ASV63	NA	NA	NA	NA	NA	NA	NA
ASV64	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV65	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium subspirilliferum
ASV66	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV67	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV68	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV69	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Heydenia	NA
ASV70	NA	NA	NA	NA	NA	NA	NA
ASV71	NA	NA	NA	NA	NA	NA	NA
