	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV10055	2.69500307766454	-2.0783620375075	0.560720017726999	-3.7065950417333	0.000210064426813928	0.0034599446610663	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia vishniacii
ASV103	35.8498083848872	-3.7195552380066	0.959007480667055	-3.87854663596513	0.000105082383570538	0.00203739729974191	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV10944	73.7805013523098	-4.89518563358497	0.874716100564107	-5.59631362727639	2.18957458778075e-08	1.63889356832462e-06	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium citrinum
ASV147	53.6406613194631	4.83701721195528	0.831768906960972	5.81533785583336	6.0511543039085e-09	6.41611454786298e-07	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tenuissima
ASV1527	3.09054761976641	-2.31893979449212	0.596474109128705	-3.88774593733749	0.000101179449597701	0.00197299926715516	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria citrimacularis
ASV1576	9.08687916750367	-3.78242545256959	0.663684465964465	-5.6991321125363	1.20418882632896e-08	1.04764427890619e-06	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV1614	2.76027268217979	-2.11617158299479	0.569361896329338	-3.71674254395614	0.00020180790246695	0.00335654026014884	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora musae
ASV2065	37.3118132678776	-3.11396256613178	0.764565271146295	-4.07285379502405	4.64405787892079e-05	0.00100364894160371	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV225	57.8701806302056	5.48338599921461	0.77919220784385	7.03727006509475	1.96042663856053e-12	5.54310632052991e-10	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula paludigena
ASV230	19.3800518509696	-4.70944253271551	0.685911654338241	-6.86596080257468	6.60452081858339e-12	1.49394260916356e-09	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria longipes
ASV2899	2.63947416724161	-2.04103038999788	0.569463128543421	-3.58413089047302	0.000338202463430743	0.00531259702972458	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia membranifaciens
ASV3181	5.42111586233976	2.50317061097525	0.633872110775781	3.94901521682611	7.84733636705038e-05	0.00155707674230421	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Protousnea	Protousnea dusenii
ASV349	20.6191314982816	3.51162104251453	0.818455089429963	4.29054823882921	1.7823256372199e-05	0.000465186991314394	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
ASV35	206.98977061298	-3.86233674409566	0.884009000322756	-4.3691147292454	1.24751217950804e-05	0.000338624706005663	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV3686	5.22510995519949	2.57090037773008	0.561253629935341	4.58063919876341	4.63556960610122e-06	0.000146995211901883	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa
ASV3938	2.79171743088662	-2.14317907720212	0.532500556134775	-4.02474523737339	5.70370285920617e-05	0.00119460887662263	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tenuissima
