	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV111	23.2438391666118	-4.17883733518865	0.720415485091574	-5.80059343762921	6.60806398238383e-09	2.14943122276307e-07	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Devriesia	NA
ASV1123	2.66149141988948	-2.59160182070865	0.600438291046819	-4.316183460236	1.58750054826189e-05	0.000260866439574247	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
ASV11268	17.3143542518265	4.12772447694358	0.941158980420071	4.38578875919692	1.15566234358087e-05	0.000197418721930416	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV11326	1.57827162878929	-1.4224069745504	0.420846018550553	-3.37987508934823	0.000725187797200199	0.00788081658788042	NA	NA	NA	NA	NA	NA	NA
ASV1136	1.95276263058167	-1.94248635350417	0.466838022848074	-4.16094289332626	3.16936337446305e-05	0.000495108771885692	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV115	95.3166337352327	6.44990474763262	1.00952234702328	6.38906584549718	1.66902185351791e-10	7.01432281624474e-09	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala heteromorpha
ASV1161	4.04929348417783	-3.01196151598211	0.608165759449165	-4.95253385969993	7.3253304931074e-07	1.57411739872249e-05	NA	NA	NA	NA	NA	NA	NA
ASV117	66.9484769398819	6.51698418828945	1.06289257357896	6.13136675359911	8.71272908764746e-10	3.06494447683243e-08	Fungi	NA	NA	NA	NA	NA	NA
ASV1171	17.9031592979205	-5.74192826986705	0.661917843991202	-8.67468421042199	4.14699642849698e-18	6.79106415135592e-16	NA	NA	NA	NA	NA	NA	NA
ASV1174	16.3723849656307	-5.607416629732	0.668965715380263	-8.38221825246239	5.1939410326735e-17	6.85167387893512e-15	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV11812	97.1702548946249	3.81657087282633	0.749213568237637	5.09410271600391	3.50396767793282e-07	7.96188636483394e-06	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	NA
ASV1183	24.8239625777905	5.07376620676968	0.971787764274367	5.22106409783649	1.77897948533546e-07	4.37739563515964e-06	Fungi	NA	NA	NA	NA	NA	NA
ASV120	105.76851462017	7.17931173893984	1.06192278475609	6.76067209593662	1.37353069109394e-11	7.76535387143468e-10	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV1205	7.99148679305242	3.16535901452178	0.834397930669831	3.79358444954522	0.000148488097527388	0.00191622275858034	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
ASV1218	5.10901214049463	-3.32897758514027	0.662365382090229	-5.0258930722421	5.01095050913452e-07	1.1017131466611e-05	Fungi	NA	NA	NA	NA	NA	NA
ASV122	134.658414742565	5.82381668073764	0.877392676144983	6.63763995196068	3.18745276800155e-11	1.57679304117077e-09	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV1230	9.54801367021084	-4.78007015521708	0.655843112668183	-7.28843539390114	3.13575197776043e-13	2.37071620300851e-11	NA	NA	NA	NA	NA	NA	NA
ASV1241	4.17246150959616	-3.42558307227584	0.646214854834924	-5.30099710126736	1.15171917783958e-07	2.92487399762575e-06	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV125	216.602044722915	5.92813371862777	0.878521171677064	6.74785527059204	1.50046502451887e-11	8.38318635463543e-10	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa
ASV127	19.0718213879352	-3.80708316281022	0.708987378521363	-5.3697474428249	7.88469841870876e-08	2.06875319284243e-06	NA	NA	NA	NA	NA	NA	NA
ASV1273	2.41263942442227	-2.39263140623092	0.534977589171868	-4.47239558190588	7.73481718899868e-06	0.000136171475836645	NA	NA	NA	NA	NA	NA	NA
ASV1274	3.07327231857899	-2.8740857793583	0.54623307553607	-5.26164728589108	1.4277045324819e-07	3.5685099077666e-06	NA	NA	NA	NA	NA	NA	NA
ASV129	547.848799864294	9.13400887818973	1.16505569377953	7.83997617191867	4.50631933963236e-15	4.46876666880185e-13	NA	NA	NA	NA	NA	NA	NA
ASV1308	3.32033617238692	-3.01412383084796	0.604845757017635	-4.98329333698223	6.25110736639572e-07	1.36176646252354e-05	NA	NA	NA	NA	NA	NA	NA
ASV131	7.35632478643736	3.04457277163899	0.787528144471168	3.86598598794643	0.000110641290413839	0.00146965139770865	Fungi	NA	NA	NA	NA	NA	NA
ASV1327	2.60694098475675	-2.55031395607979	0.597389687369615	-4.26909605237605	1.96266743098759e-05	0.000318112888387715	NA	NA	NA	NA	NA	NA	NA
ASV1338	2.31325502442321	-2.31477759333888	0.509458918537702	-4.54360010024552	5.53015256787134e-06	0.000100239292155805	NA	NA	NA	NA	NA	NA	NA
ASV135	188.618090708791	5.94871315390764	1.04058951181123	5.71667606331473	1.08627913284739e-08	3.34983091031966e-07	Fungi	NA	NA	NA	NA	NA	NA
ASV1365	5.0565781061201	-2.35724473740522	0.61855174554848	-3.81090952271909	0.000138456439279065	0.00180145104146925	Fungi	NA	NA	NA	NA	NA	NA
ASV137	81.7806063809918	3.94276126265521	1.04133922936449	3.7862409784191	0.000152943361888269	0.00194726012227182	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	NA	NA
ASV138	286.713124829932	-9.50450347357425	0.789888957641902	-12.0327083720078	2.39183615136584e-33	1.62268998326234e-30	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV1391	3.2657693537773	-2.98341292301384	0.601395331590842	-4.96081822770715	7.01968577982647e-07	1.52221405335141e-05	NA	NA	NA	NA	NA	NA	NA
ASV14	478.40170039277	-10.2431050477729	0.935912221755098	-10.9445146774173	7.05947787781681e-28	2.57888157244246e-25	NA	NA	NA	NA	NA	NA	NA
ASV1403	2.08382217332711	-2.08791017443259	0.52063656118157	-4.01030263739861	6.0640971101233e-05	0.000849510241179219	NA	NA	NA	NA	NA	NA	NA
ASV1407	2.27853343667277	-2.27311609224238	0.564580560042915	-4.02620326153205	5.66846939933051e-05	0.000805974885551515	NA	NA	NA	NA	NA	NA	NA
ASV141	115.236700938587	6.89344629325088	1.07750969405611	6.3975724128306	1.5786662037192e-10	6.69382660844865e-09	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia solani
ASV1415	11.1060013467413	-4.79903281091394	0.635120429601498	-7.55609894949382	4.15337926618156e-14	3.65266632131412e-12	NA	NA	NA	NA	NA	NA	NA
ASV1419	2.1598815006209	-2.16770973259832	0.501431754248234	-4.32304040227415	1.53893537549458e-05	0.000255538604832998	NA	NA	NA	NA	NA	NA	NA
ASV143	2.22521373559711	-1.9198737719778	0.494276846637492	-3.88420737292973	0.000102664257063712	0.00137338748393117	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV1431	4.91525276794854	-3.7083981838825	0.604277768427415	-6.13690984120317	8.41421061435302e-10	2.99326053961619e-08	NA	NA	NA	NA	NA	NA	NA
ASV1441	12.9089532673846	-2.76088093205747	0.741687726403066	-3.72243038919735	0.000197314316806802	0.00245299918983116	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	NA
ASV145	38.6725236707574	-6.88486122060488	0.813983196398919	-8.45823507298881	2.71454493463584e-17	4.028554342058e-15	Fungi	Basidiomycota	Agaricomycetes	Atheliales	NA	NA	NA
ASV1464	3.15925297126644	-2.92129891330783	0.592159053667106	-4.9333011041829	8.08513687640909e-07	1.70650289004741e-05	NA	NA	NA	NA	NA	NA	NA
ASV147	53.6406613194631	-4.48249502462869	0.866220207690754	-5.17477540333366	2.28185300625605e-07	5.36461382510395e-06	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tenuissima
ASV1471	1.98051476781499	-1.97275398523521	0.549717183010282	-3.58867076781609	0.00033236825466942	0.0038973255343829	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	NA
ASV1474	3.64485088591691	-3.05234571997297	0.587493323302355	-5.19554112175343	2.04125206536996e-07	4.98326941006242e-06	NA	NA	NA	NA	NA	NA	NA
ASV148	67.7524812198205	5.02622039354349	0.98656353383065	5.09467481939817	3.49340348100548e-07	7.96188636483394e-06	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	NA	NA
ASV149	114.475890198951	7.29373145518858	1.07038717695628	6.81410578546804	9.48518916949318e-12	5.49331260560038e-10	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	NA	NA
ASV15	1115.24757047513	9.46980753929521	1.18564180739625	7.9870728918471	1.3818039594988e-15	1.52609000085111e-13	NA	NA	NA	NA	NA	NA	NA
ASV150	26.9674297086383	3.86206612961695	0.888786586783639	4.3453244986438	1.39069923209689e-05	0.000234199668554189	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV151	186.438878285544	-8.49619318412954	0.588449543503619	-14.4382696493286	2.97210275419247e-47	4.70483865988669e-44	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	NA	NA
ASV1519	8.14698993115949	2.99776391874413	0.806644134776029	3.71634006807287	0.000202129486713296	0.0024997732614621	Fungi	NA	NA	NA	NA	NA	NA
ASV1521	4.84237780221328	-2.69226348407949	0.618948603221171	-4.34973674723272	1.36301060325288e-05	0.000231176334101711	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	Neocosmospora falciformis
ASV1530	1.80473263383535	-1.75065708163303	0.4834431298327	-3.62122651787162	0.000293209648068751	0.00348113154669625	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	NA
ASV1538	10.1881606568294	-4.88206577405444	0.617576370001113	-7.90520170654464	2.6750009430407e-15	2.82301766188895e-13	NA	NA	NA	NA	NA	NA	NA
ASV1539	7.62459881098041	-4.4268969273685	0.619872900607393	-7.14162035964265	9.22370585723749e-13	6.18622711361495e-11	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Phaeomoniella	Phaeomoniella chlamydospora
ASV1553	2.44399180252999	-2.41908481346234	0.570673356717044	-4.23900079614509	2.24516862377044e-05	0.000357795496452544	NA	NA	NA	NA	NA	NA	NA
ASV1566	2.60794762118305	-2.55066252298948	0.572356787171761	-4.45642050580601	8.33394842676834e-06	0.000146043989220379	NA	NA	NA	NA	NA	NA	NA
ASV1572	11.3989910002131	3.5062880663362	0.867718502453537	4.04081284013412	5.32662567537236e-05	0.000773469589690299	NA	NA	NA	NA	NA	NA	NA
ASV1573	8.82712514032969	-4.33793152396189	0.594853651729554	-7.29243488940386	3.04402692313967e-13	2.3698498127853e-11	NA	NA	NA	NA	NA	NA	NA
ASV1576	9.08687916750367	3.5907162554926	0.822153497888732	4.36745238536777	1.25704188826671e-05	0.000213967452594216	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV1577	4.76669969496445	2.61272217006496	0.788299267882568	3.31437853175093	0.000918470759519416	0.00980183738642182	Fungi	Blastocladiomycota	NA	NA	NA	NA	NA
ASV158	36.0172070365943	5.61673568185458	1.00415794657884	5.59347829790198	2.22565056660684e-08	6.52445342025672e-07	NA	NA	NA	NA	NA	NA	NA
ASV1580	3.02819305668319	-2.84556597784044	0.51841984202414	-5.48892181041933	4.04394572129247e-08	1.11655222269872e-06	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1582	2.65105588694812	-2.58860031242651	0.499504176693403	-5.1823396744396	2.19119694960541e-07	5.17711159884384e-06	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV16	1841.24058448649	-11.8722825179207	0.819806722829945	-14.4818067323698	1.57891688044461e-47	3.74913813261573e-44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV160	154.487083685158	7.31241537375577	1.09286985393813	6.69102121117683	2.21618534427924e-11	1.18254653932383e-09	NA	NA	NA	NA	NA	NA	NA
ASV161	8.46845802035367	3.48502852664637	0.825798565226717	4.22019203398541	2.4409430225279e-05	0.000385992036271677	NA	NA	NA	NA	NA	NA	NA
ASV1614	2.76027268217979	-2.66395119550849	0.537657353230921	-4.95473777025484	7.2427900431401e-07	1.56345499613056e-05	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora musae
ASV1616	5.49247974381136	-3.89358303450909	0.578383552954279	-6.73183567309509	1.67535795779842e-11	9.04122152452806e-10	NA	NA	NA	NA	NA	NA	NA
ASV162	9.0603669477983	-3.86857846452801	0.702272985014407	-5.50865339701007	3.61589067513604e-08	1.01010969507183e-06	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercosporella	Cercosporella tinosporae
ASV1644	7.08314884541543	-4.19563562239915	0.581262333604146	-7.21814468242576	5.27016295692282e-13	3.68058880623918e-11	NA	NA	NA	NA	NA	NA	NA
ASV166	3.95311986220113	-3.07646447520558	0.640589331747554	-4.80255340314965	1.56655020395489e-06	3.09981121607574e-05	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	NA
ASV1661	3.34720371332306	-3.0284360500707	0.547459803953173	-5.53179617608919	3.16968099563701e-08	8.99788741943464e-07	NA	NA	NA	NA	NA	NA	NA
ASV167	9.00485010499801	3.34682098031823	0.907357326975749	3.68853689810749	0.000225547320771775	0.00273944814922036	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
ASV1677	3.04044212460962	-2.71440641479549	0.601724418141126	-4.51104580927753	6.45087862739019e-06	0.000115170009779985	NA	NA	NA	NA	NA	NA	NA
ASV1688	7.894303022213	-4.48175085004998	0.619822591342978	-7.23069941729506	4.80512829863196e-13	3.45750822578836e-11	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV1696	10.7505738880378	-4.96524170924555	0.602539892039731	-8.24051946575207	1.71464565467284e-16	2.08791082411315e-14	NA	NA	NA	NA	NA	NA	NA
ASV1702	2.55358212985869	-2.50822254829443	0.565712730155677	-4.43373891834501	9.26127696598856e-06	0.000160517533983502	NA	NA	NA	NA	NA	NA	NA
ASV171	11.249738263895	3.68034397955431	0.930642436935304	3.95462729130862	7.66540525391217e-05	0.0010490780850383	NA	NA	NA	NA	NA	NA	NA
ASV1713	9.22019565761767	3.61170429979527	0.861802130957336	4.19087418104107	2.77881731556684e-05	0.000435531466390327	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV172	55.2298915979194	6.01059737021226	1.03813827212875	5.78978497525891	7.04765882776903e-09	2.27682529068538e-07	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia solani
ASV1720	4.88485654358502	-2.00542685969326	0.552692008776828	-3.62847088043032	0.000285104900463811	0.0034102646136315	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Parathyridaria	NA
ASV1726	7.17298323900914	3.23647767517507	0.805265843145217	4.01914188056703	5.84104906916166e-05	0.000828034090431305	Fungi	NA	NA	NA	NA	NA	NA
ASV173	14.6527659660263	3.97429022491824	0.962884936961742	4.12748197874878	3.66757163750167e-05	0.000567338687507994	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV1739	2.14491858866546	-1.981105280952	0.534105404890027	-3.70920283302491	0.000207912822215887	0.00255797407436074	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	NA
ASV174	152.472578136715	7.70828558357173	1.10672247866063	6.96496703753629	3.28480651680084e-12	2.05257186161674e-10	NA	NA	NA	NA	NA	NA	NA
ASV1741	2.11723541696683	-1.95987218091564	0.479819059861332	-4.0846067713151	4.41515215060592e-05	0.000661437147104968	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV1744	5.4621145645845	2.8221568886223	0.760481534782029	3.71101303522273	0.000206431472298639	0.00254634561544477	NA	NA	NA	NA	NA	NA	NA
ASV1757	2.82601356833625	-2.7093269083542	0.608992079737003	-4.44887051654963	8.63230342139362e-06	0.000150716209368376	NA	NA	NA	NA	NA	NA	NA
ASV176	15.0974843932086	3.74020431707493	0.804238625151506	4.65061512852647	3.3094643317705e-06	6.13931488733519e-05	Fungi	Basidiomycota	Microbotryomycetes	Kriegeriales	Kriegeriaceae	Phenoliferia	Phenoliferia glacialis
ASV177	257.927828705877	-9.18632937092945	0.77799195086527	-11.8077434615006	3.55987383669167e-32	2.11323010630609e-29	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Herpotrichia	NA
ASV18	1111.80607403051	-8.79473866589772	0.999590988979289	-8.79833728281032	1.38858159941981e-18	2.44236074653506e-16	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Sepultariella	NA
ASV1814	2.89208316836713	-2.76028355822875	0.567812346689922	-4.86126019330136	1.16640820443275e-06	2.37658447093493e-05	NA	NA	NA	NA	NA	NA	NA
ASV1822	247.749184864118	-7.16625610008085	0.90635008731445	-7.90671971060845	2.64259700561841e-15	2.82301766188895e-13	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Sepultariella	NA
ASV1837	4.75513958111914	2.60635715895465	0.766901339474142	3.39855601340037	0.000677425895969553	0.00741266262663457	NA	NA	NA	NA	NA	NA	NA
ASV184	16.7177132782021	3.45351524146139	0.802958356228856	4.30098922898199	1.70037326088473e-05	0.00027749390432789	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia vishniacii
ASV1842	2.0860091328855	-1.92865215593936	0.534380645060611	-3.60913549876157	0.00030721911818607	0.00362931241857126	Fungi	NA	NA	NA	NA	NA	NA
ASV1855	2.30821638992379	-2.29938385575515	0.53302600320962	-4.31383054843365	1.60449945578926e-05	0.000262750617777351	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora musae
ASV186	89.0078543728187	4.92595950499284	0.856710500908121	5.74985307145328	8.93210378818331e-09	2.82790405933884e-07	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV187	20.0491540558153	4.53600638687389	0.940923462386361	4.82080272009555	1.42981703625172e-06	2.85302567443673e-05	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	NA
ASV1889	2.57877953897935	-2.24846569882176	0.546414245266067	-4.11494707230209	3.87268266744162e-05	0.000589466986784623	NA	NA	NA	NA	NA	NA	NA
ASV189	180.813740810141	7.95470446969688	1.10996170952984	7.1666476432474	7.68565062990511e-13	5.28973258571295e-11	NA	NA	NA	NA	NA	NA	NA
ASV19	1769.77610994352	-11.9652873748493	0.892975059469613	-13.399352252857	6.09931513540546e-41	5.79312951560811e-38	NA	NA	NA	NA	NA	NA	NA
ASV1919	6.35555762648363	-4.1339240651868	0.613696676297751	-6.73610306988385	1.62690901290014e-11	8.88067919800318e-10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV192	41.2501434752058	-6.2879260309915	0.748751570940824	-8.39788025164418	4.5461044447316e-17	6.34983823765599e-15	Fungi	Rozellomycota	NA	NA	NA	NA	NA
ASV1921	15.1675920333624	-3.50131242536563	0.73704463618473	-4.75047541691637	2.0293896552466e-06	3.94982437408448e-05	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	NA	NA
ASV197	105.87626433411	4.73311968059364	0.883450820111479	5.35753612181422	8.43645049286657e-08	2.17742953209909e-06	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	NA
ASV2	378.800319176776	7.02270167242347	1.05662897009522	6.64632701845249	3.00497228231482e-11	1.51815035837373e-09	NA	NA	NA	NA	NA	NA	NA
ASV20	155.814568342943	6.11433542740915	1.00272432145904	6.09772326905596	1.0758978956267e-09	3.7295175958622e-08	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV2007	6.20241315922649	-3.97528045724749	0.574340823448727	-6.92146595705534	4.46993564203502e-12	2.6870537169651e-10	NA	NA	NA	NA	NA	NA	NA
ASV201	263.438779099211	-8.74569122137483	0.781402519502013	-11.1922997470605	4.44746368841321e-29	1.92009136875221e-26	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV2011	1.86611966209232	-1.82699688353734	0.493111893656003	-3.70503511888898	0.000211361446228277	0.00258699873231466	NA	NA	NA	NA	NA	NA	NA
ASV2013	1.90147668224027	-1.87927436738836	0.516360146524102	-3.63946439328977	0.000273205710164581	0.00328469346220657	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2040	20.3363827505934	4.781895264755	0.897477317996465	5.32815166340932	9.92172613233244e-08	2.53324072056165e-06	Fungi	NA	NA	NA	NA	NA	NA
ASV2044	2.12404547962051	-2.12601507068985	0.550846462261908	-3.85954202548551	0.000113599720543906	0.00150274393555156	NA	NA	NA	NA	NA	NA	NA
ASV2065	46.6644496152664	5.77250718865056	0.863404690701862	6.68574916353314	2.2974625777191e-11	1.21229442017644e-09	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV2067	1.74346419117969	-1.67099605574151	0.474847644286575	-3.51901515327525	0.000433151966448515	0.00496869248469565	NA	NA	NA	NA	NA	NA	NA
ASV2092	1.89109253317922	-1.86021276173646	0.539913523595294	-3.44539019758067	0.000570235587716607	0.00635692207996753	NA	NA	NA	NA	NA	NA	NA
ASV21	3.35317404354615	-1.99717552088636	0.500097515286327	-3.99357217310486	6.50852552529202e-05	0.000907874361560139	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	NA
ASV210	108.521168542834	7.21642764830978	1.12703697517139	6.40300878080097	1.52344427618034e-10	6.51787105187428e-09	NA	NA	NA	NA	NA	NA	NA
ASV2138	2.02691634278184	-1.85463504579191	0.534727577864985	-3.46837365897031	0.00052361867205493	0.00586477611695487	NA	NA	NA	NA	NA	NA	NA
ASV2139	2.10564708739119	-1.95166009226293	0.47850035187235	-4.07870147770252	4.5287944557497e-05	0.000674513463454375	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	NA
ASV214	436.877731944508	-8.73625239561946	0.784274146422544	-11.1392839295669	8.07661090904363e-29	3.19631876725402e-26	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV2146	5.51246012912125	-3.77914254322897	0.576247511784484	-6.55819325193437	5.44636005391307e-11	2.58647638960332e-09	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina wiesneri
ASV2147	5.19683094054588	-3.80199503458001	0.564390953051687	-6.73645637659933	1.62295988831915e-11	8.88067919800318e-10	NA	NA	NA	NA	NA	NA	NA
ASV2148	10.9416022747825	-4.99282822545705	0.642460023453711	-7.77142241258344	7.76096118219829e-15	7.52179686821626e-13	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
