	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1021	5.17193798224864	2.73974197425048	0.815773651799979	3.35845852364234	0.000783784825015552	0.00844034951020149	NA	NA	NA	NA	NA	NA	NA
ASV10249	25.1516437065826	5.09296520480381	0.950120158642921	5.36033801459198	8.30663808543727e-08	2.15564067036839e-06	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV10250	3602.70187167485	10.6037223915447	1.11556903400622	9.50521399241841	1.99637124009987e-21	4.51465096154013e-19	Fungi	NA	NA	NA	NA	NA	NA
ASV10291	1.74731342516508	-1.67391222265611	0.476550262295142	-3.51256174866903	0.000443808863165983	0.00506646223840205	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV103	70.8378780640413	6.37173715019338	1.11287723724007	5.72546273477139	1.03152187655839e-08	3.20176300116065e-07	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV1034	17.5309863913924	4.34087405575823	0.883873735420045	4.91119249481411	9.05241651896652e-07	1.89382934134678e-05	Fungi	NA	NA	NA	NA	NA	NA
ASV10350	1.89753645188848	-1.87644740833092	0.497342115264022	-3.77295095416316	0.000161328011097415	0.00203762426782347	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	Neodevriesia lagerstroemiae
ASV10380	2.06329708607309	-1.74151344110853	0.49319913597736	-3.53105533661859	0.000413905146135219	0.00475940808473645	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus radians
ASV104	144.329769855551	5.05257287171761	0.93701587037492	5.39219561958536	6.96019351535072e-08	1.83633105580003e-06	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV1040	9.72094269326506	3.45733915300226	0.866567586346392	3.98969359975606	6.61587013544188e-05	0.000918677405649518	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Arxiella	NA
ASV10550	26.5159724563613	4.94140795176511	0.975496426787384	5.06553157558836	4.07262261371056e-07	9.12305886439218e-06	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	NA
ASV10627	6.72599493828641	3.13754940822782	0.824391855176416	3.80589568968558	0.000141291925884199	0.00183332064487449	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
ASV1077	2.77421678594688	-2.67892147289241	0.526079416421446	-5.09223776728474	3.5386194862975e-07	8.00233520972707e-06	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV1080	3.95475842293862	-2.97387926981444	0.641257655580749	-4.63757312514449	3.52523907676688e-06	6.46384570485171e-05	NA	NA	NA	NA	NA	NA	NA
ASV1085	1.68694372692422	-1.59130038241071	0.458651010371755	-3.46952333348378	0.000521382777112023	0.00585353855438534	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV1087	27.2097436019363	-6.25992007174694	0.673767572180337	-9.29091919857408	1.52961545671646e-20	2.90565752157859e-18	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV10944	73.7805013523098	6.65780551644705	1.02526059370326	6.49376905475217	8.37150495388354e-11	3.78631209771361e-09	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium citrinum
ASV11028	488.210971022157	9.38933080844351	1.120097935758	8.38259808245204	5.17720204182055e-17	6.85167387893512e-15	NA	NA	NA	NA	NA	NA	NA
