	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ASV100	42.4554838458859	-5.79887736605045	0.635252979479265	-9.12845362929893	6.94846708451536e-20	3.56386876764793e-17
ASV1000	3.77813878176564	-2.01024849089071	0.47528331669788	-4.22957932724692	2.34128710126706e-05	0.000351124606502888
ASV10005	2.47240558171942	1.6724009892115	0.400517793148792	4.17559723392914	2.97205269483496e-05	0.0004269932289022
ASV1008	16.6773270245252	-4.57357448780289	0.581549498500678	-7.86446295559406	3.70684258395892e-15	5.00326200345402e-13
ASV1009	8.99649529060092	-4.04017917840581	0.514358417407809	-7.85479354798341	4.00431178888999e-15	5.26618337569661e-13
ASV1011	2.7105510312693	-1.96951760375901	0.442040581280843	-4.45551310708215	8.3692782141757e-06	0.000145020364731443
ASV1014	9.57263949850153	-3.26912480179816	0.555765507399168	-5.88220168087936	4.04844596118218e-09	1.57306661628056e-07
ASV10149	3.62640413645756	2.17154968169804	0.452256721815346	4.80158630474634	1.57413637959829e-06	3.26884705179273e-05
ASV10150	4.12416935832806	-2.55381339955451	0.43876495538179	-5.82045892277864	5.86862652975035e-09	2.15001324793497e-07
ASV1017	8.90713705990471	-3.94692309737683	0.516762791716829	-7.63778499660176	2.20990482393941e-14	2.46404387869245e-12
ASV102	23.609041313022	-4.55960947709872	0.59784371667393	-7.62675821444751	2.40730481977835e-14	2.57230550430066e-12
ASV1028	3.34386421842445	-2.43657226289875	0.465707700985128	-5.23197760686497	1.67706071087601e-07	4.36631694725029e-06
ASV1034	11.1836756124813	2.53091916867063	0.546334956472423	4.63254115206589	3.61204506832728e-06	6.86154783535207e-05
ASV10403	2.10059661267647	1.16259847954372	0.346308863888018	3.35711441656792	0.000787605127552997	0.0060746266153674
ASV1042	2.2795204877457	-1.73801243794829	0.419999618665248	-4.13812860942985	3.50150091599492e-05	0.000489351449540543
ASV10451	14.6550609504586	-4.26094284055686	0.591992549170254	-7.1976291703824	6.12684990258508e-13	4.48923045005127e-11
ASV1050	2.05598879037719	-1.44024266216755	0.416617536070993	-3.45699001475091	0.000546245089164086	0.00461563601700592
ASV1052	2.854291626624	-1.5747608879102	0.444496908000944	-3.54279379578238	0.000395912144718496	0.00358031798335865
ASV10550	170.062134277583	-3.58337441726629	0.75717194127749	-4.73257687180071	2.2168730489208e-06	4.49831678140091e-05
ASV1057	4.48656748815854	-2.89332690622505	0.473927711598449	-6.10499625874699	1.02803089780255e-09	4.43089955868008e-08
ASV1062	2.63332815132517	1.46172082971211	0.43754392358473	3.34074078263151	0.000835551941538279	0.00634895690096272
