ID..Species..Source
_Glomeraceae_Rhizophagus_arabicus_18S_rDNA_ITS_28S_rDNA_10  Glomeraceae  reference
_Glomeraceae_Glomus_sp._18S_rDNA_ITS_28S_rDNA_3  Glomeraceae  reference
_Glomeraceae_Glomus_sp._18S_rDNA_ITS_12  Glomeraceae  reference
_Glomeraceae_Glomus_sp._18S_rDNA_ITS_45  Glomeraceae  reference
_Glomeraceae_Glomus_sp._18S_rDNA_ITS_28S_rDNA_41  Glomeraceae  reference
_Glomeraceae_Glomus_custos_ITS_16  Glomeraceae  reference
_Glomeraceae_Glomus_irregulare_ITS_6  Glomeraceae  reference
_Glomeraceae_Glomus_Hijri06_Glom-A1_18S_rDNA_ITS_14  Glomeraceae  reference
_Glomeraceae_Glomus_Wubet04_Glom17_18S_rDNA_ITS_28S_rDNA_13  Glomeraceae  reference
_Glomeraceae_Glomus_intraradices_ITS_4  Glomeraceae  reference
_Glomeraceae_Glomus_sp._18S_rDNA_ITS_5  Glomeraceae  reference
_Glomeraceae_Glomus_sp._18S_rDNA_ITS_34  Glomeraceae  reference
_Glomeraceae_Glomus_sp._ITS_25  Glomeraceae  reference
_Glomeraceae_Glomus_Galvan09_GloA3_18S_rDNA_ITS_38  Glomeraceae  reference
_Glomeraceae_Glomus_sp._ITS_21  Glomeraceae  reference
_Glomeraceae_Glomus_sp._ITS_28  Glomeraceae  reference
_Glomeraceae_Glomus_sp._ITS_35  Glomeraceae  reference
_Glomeraceae_Glomus_sp._ITS_29  Glomeraceae  reference
_Glomeraceae_Rhizoglomus_dunense_18S_rDNA_ITS_28S_rDNA_20  Glomeraceae  reference
_Glomeraceae_Glomus_sp._ITS_8  Glomeraceae  reference
_Glomeraceae_Glomus_Konig10_Sequence_type_3_ITS_9  Glomeraceae  reference
_Glomeraceae_Glomus_Konig10_Sequence_type_1_ITS_44  Glomeraceae  reference
_Glomeraceae_Glomus_sp._18S_rDNA_ITS_28S_rDNA_31  Glomeraceae  reference
_Glomeraceae_Glomus_OTU60_18S_rDNA_ITS_28S_rDNA_27  Glomeraceae  reference
_Glomeraceae_Glomus_OTU29_18S_rDNA_ITS_28S_rDNA_39  Glomeraceae  reference
_Glomeraceae_Glomus_Wang11_Glo22_18S_rDNA_ITS_28S_rDNA_43  Glomeraceae  reference
_Glomeraceae_Glomus_Konig10_group_Ab_ITS_2  Glomeraceae  reference
_Glomeraceae_Glomus_sp._18S_rDNA_ITS_42  Glomeraceae  reference
_Glomeraceae_Glomus_Hijri06_Glom-A3_18S_rDNA_ITS_11  Glomeraceae  reference
Funneliformis_mosseae  Funneliformis_mosseae  reference
_Glomeraceae_Glomus_Hijri06_Glom-A3_18S_rDNA_ITS_22  Glomeraceae  reference
Funneliformis_pilosus  Funneliformis_pilosus  reference
_Glomeraceae_Glomus_BV-RED-5_18S_rDNA_ITS_28S_rDNA_36  Glomeraceae  reference
_Glomeraceae_Glomus_cubense_ITS_19  Glomeraceae  reference
Septoglomus_mediterraneum  Septoglomus_mediterraneum  reference
Racocetra_crispa  Racocetra_crispa  reference
Racocetra_castanea  Racocetra_castanea  reference
Cetraspora_nodosa  Cetraspora_nodosa  reference
Dentiscutata_savannicola  Dentiscutata_savannicola  reference
Gigaspora_polymorphira  Gigaspora_polymorphira  reference
_Diversisporaceae_Diversispora_sp._W5257_18S_rDNA_ITS_28S_rDNA_24  Diversisporaceae  reference
Diversispora_spurca  Diversispora_spurca  reference
Diversispora_aurantia  Diversispora_aurantia  reference
Redeckera_megalocarpum  Redeckera_megalocarpum  reference
_Glomeraceae_Glomus_Wubet04_Glom12_18S_rDNA_ITS_28S_rDNA_15  Glomeraceae  reference
Glomus_macrocarpum  Glomus_macrocarpum  reference
_Glomeraceae_Glomus_Fahey12_S6_18S_rDNA_ITS_28S_rDNA_46  Glomeraceae  reference
