	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	NA	NA	NA	NA	NA	NA	NA
ASV2	NA	NA	NA	NA	NA	NA	NA
ASV3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	NA
ASV4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia membranifaciens
ASV6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV7	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	NA
ASV9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	Neocosmospora falciformis
ASV10	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa
ASV11	NA	NA	NA	NA	NA	NA	NA
ASV12	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	NA
ASV13	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
ASV14	NA	NA	NA	NA	NA	NA	NA
ASV15	NA	NA	NA	NA	NA	NA	NA
ASV16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia exosporioides
ASV18	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Sepultariella	NA
ASV19	NA	NA	NA	NA	NA	NA	NA
ASV20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV21	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	NA
ASV22	Fungi	NA	NA	NA	NA	NA	NA
ASV23	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Tylosporaceae	Amphinema	NA
ASV24	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	NA
ASV25	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV26	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria alternata
ASV27	NA	NA	NA	NA	NA	NA	NA
ASV30	NA	NA	NA	NA	NA	NA	NA
ASV31	NA	NA	NA	NA	NA	NA	NA
ASV32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV33	NA	NA	NA	NA	NA	NA	NA
ASV34	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV35	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tenuissima
ASV37	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium subspirilliferum
ASV38	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV39	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Picoa	NA
ASV40	Fungi	NA	NA	NA	NA	NA	NA
ASV41	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV42	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	NA	NA
ASV43	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Heydenia	NA
ASV44	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	NA
ASV45	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV46	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV47	NA	NA	NA	NA	NA	NA	NA
ASV48	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV49	NA	NA	NA	NA	NA	NA	NA
ASV51	NA	NA	NA	NA	NA	NA	NA
ASV52	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV53	NA	NA	NA	NA	NA	NA	NA
ASV54	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
ASV55	NA	NA	NA	NA	NA	NA	NA
ASV56	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV57	Fungi	NA	NA	NA	NA	NA	NA
ASV58	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV59	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA
ASV60	NA	NA	NA	NA	NA	NA	NA
ASV61	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV62	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV63	NA	NA	NA	NA	NA	NA	NA
ASV64	Fungi	NA	NA	NA	NA	NA	NA
ASV65	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV66	NA	NA	NA	NA	NA	NA	NA
