SampleID	SampleID_2	Layer	Locus	Climate_simple	Site	Substrate	moss_or_soil	Site_Substrate	Near_plant	Seq_technology	Climate	KHK_or_NP	Flowcell	Soil_type	Soil_type_layer	TBD	Sampling_Date
AlphaA1.TR.1	AlphaA1.TR.1	Subsurface	ITS	Desert	AB	Subsurface	Subsurface	AB Sub	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite Sub		TBD
AlphaB1.TR.2	AlphaB1.TR.2	Surface	ITS	Desert	AB	Moss Crust	Moss Crust	AB MC	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaB3.TR.2	AlphaB3.TR.2	Surface	ITS	Desert	AB	Moss Crust	Moss Crust	AB MC	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaB4.TR.1	AlphaB4.TR.1	Surface	ITS	Desert	AB	Moss Crust	Moss Crust	AB MC	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaB5.TR.2.1	AlphaB5.TR.2.1	Surface	ITS	Desert	AB	Moss Crust	Moss Crust	AB MC	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaB5.TR.2.2	AlphaB5.TR.2.2	Surface	ITS	Desert	AB	Moss Crust	Moss Crust	AB MC	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaC2.TR.2	AlphaC2.TR.2	Surface	ITS	Desert	AB	Surface Sterile	Moss Crust	AB SS	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
AlphaC4.TR.2	AlphaC4.TR.2	Surface	ITS	Desert	AB	Surface Sterile	Moss Crust	AB MC	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
BetaA3.TR.2	BetaA3.TR.2	Subsurface	ITS	Desert	ODLO	Subsurface	Subsurface	ODLO Sub	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite Sub	TBD	TBD
BetaB1.TR.1	BetaB1.TR.1	Surface	ITS	Desert	ODLO	Moss Crust	Moss Crust	ODLO MC	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
BetaB2.TR.2	BetaB2.TR.2	Surface	ITS	Desert	ODLO	Surface Sterile	Moss Crust	ODLO SS	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
BetaC1.TR.2	BetaC1.TR.2	Surface	ITS	Desert	ODLO	Surface Sterile	Moss Crust	ODLO SS	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
BetaC2.TR.2	BetaC2.TR.2	Surface	ITS	Desert	ODLO	Moss Crust	Moss Crust	ODLO MC	Near_Plant	Miseq	Colorado_Desert	KHK	TBD	Granite	Granite_SF	TBD	TBD
GammaA5.TR.2	GammaA5.TR.2	Subsurface	ITS	Desert	CIMA	Subsurface	Subsurface	CIMA Sub	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	Granite	Granite Sub	TBD	TBD
GammaB1.TR.1	GammaB1.TR.1	Surface	ITS	Desert	CIMA	Moss Crust	Moss Crust	CIMA MC	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	Volcanic	Volcanic_SF	TBD	TBD
GammaB4.TR.2	GammaB4.TR.2	Surface	ITS	Desert	CIMA	Moss Crust	Moss Crust	CIMA MC	Near_Plant	Miseq	Mojave_Desert	KHK	TBD	Volcanic	Volcanic_SF	TBD	TBD
